,quantity,month,city,평균기온(°C),일강수량(mm),일 최심신적설(cm),최대 순간 풍속(m/s),최저 해면기압(hPa),,합계 일조 시간(hr)
253,936450,12,강릉,3.2,0,0,12,1026.2,,8.9
254,1033800,12,강릉,4.5,0,0,8.3,1031.9,,8.9
255,1468050,12,강릉,7.1,0,0,9.4,1024.6,,2.4
256,1204300,12,강릉,7.1,0,0,7.7,1022.9,,2.4
260,1151350,12,강릉,3,0,0,11,1016.8,,9
261,1339900,12,강릉,5.2,0,0,10.8,1014.4,,7.4
262,1496900,12,강릉,-0.3,0,0,10.5,1024,,3.1
263,1279250,12,강릉,-0.8,0,0,11.5,1027.3,,8.9
264,1338150,12,강릉,1.2,0,0,9.3,1028.4,,6.9
265,1612250,12,강릉,3.4,0,0,6.5,1025.6,,8.7
266,3237950,12,강릉,4.3,0,0,9.7,1025.5,,7.6
7591,1117350,1,고창군,-4.1,8.5,0,11,1022.3,,0.6
7592,1483900,1,고창군,-3.3,5.5,0,10.8,1023.7,,3.4
7593,1821050,1,고창군,-2.8,0,0,3.6,1019.7,,5.6
7594,1873150,1,고창군,3,0,0,3.2,1016.6,,7.7
7595,1711250,1,고창군,6.8,8.5,0,7.8,1008,,2.7
7596,1491200,1,고창군,2.1,4.5,0,12.4,1007.7,,7.2
7597,1461700,1,고창군,-1.2,0,0,10.1,1021.1,,8.2
7598,1546400,1,고창군,-1,0,0,9.6,1024.5,,3.9
7599,1865450,1,고창군,2.2,0,0,8.1,1024.2,,3.5
7600,1793950,1,고창군,2.2,0,0,6.4,1023,,8.2
7601,1919650,1,고창군,2.2,0,0,10.8,1021.2,,4.6
7602,1685250,1,고창군,-1.2,0,0,7.6,1029.8,,8.8
7603,1677400,1,고창군,2.6,0,0,4,1030.4,,4.4
7604,1636650,1,고창군,4.1,0,0,6,1021.7,,0
7605,1627200,1,고창군,1.9,0,0,6,1020.2,,4.8
7606,1442950,1,고창군,2.1,1.5,0,10.2,1019.5,,0
7607,1852300,1,고창군,-0.1,0,0,10.4,1023.3,,9.1
7608,1979700,1,고창군,1,0.1,0,9.8,1017.6,,5.5
7609,1876550,1,고창군,3.7,0,0,9.4,1019.9,,4.2
7610,1588200,1,고창군,1.9,0,0,6.6,1024.3,,7.8
7611,1314150,1,고창군,4.5,8,0,4.6,1018,,0
7612,1790050,1,고창군,3.4,0.5,0,6.5,1017.1,,2.5
7613,1784100,1,고창군,1.8,0,0,4.9,1021.3,,6
7614,1934200,1,고창군,3.5,0,0,5.6,1023.9,,5.7
7615,1920200,1,고창군,8.1,6.5,0,13.7,1018.8,,0.5
7616,1819100,1,고창군,6.7,2,0,6.4,1017.9,,0
7617,1546400,1,고창군,0.3,0,0,8.6,1022.6,,6.1
7618,1474300,1,고창군,-2.2,0,0,8.7,1026.6,,8.8
7619,1503300,1,고창군,0.3,5,0,6.1,1024.3,,0
7620,1549200,1,고창군,0.5,0.1,0,11.4,1023.9,,5.6
7621,1680650,1,고창군,-2.1,0,0,8.2,1029.4,,9
7622,2031650,2,고창군,-2,0,0,6.9,1031.1,,9.4
7623,1650100,2,고창군,-0.1,0,0,6.7,1029.3,,7.7
7624,1416100,2,고창군,0.3,0,0,5.6,1026.6,,5.9
7625,1437700,2,고창군,0.5,0.1,0,5,1021.2,,1.2
7626,1435650,2,고창군,1.7,0.2,0,8.5,1022.2,,3.3
7627,1402000,2,고창군,2.1,0,0,6.8,1024.8,,4.6
7628,1650550,2,고창군,2.7,0,0,7.3,1020.1,,0
7629,1791900,2,고창군,-4,0,0,14.5,1021.3,,2.4
7630,1848200,2,고창군,-2.6,0,0,8,1025.3,,7
7631,1627600,2,고창군,4.1,0,0,8.4,1017.3,,5.1
7632,1597050,2,고창군,5.2,0,0,7.5,1011.4,,5
7633,1389350,2,고창군,1.3,0,0,10.7,1012.3,,5.5
7634,1659900,2,고창군,-0.8,0,0,8.2,1018.8,,9.6
7635,2036150,2,고창군,3.3,0,0,6.2,1020.3,,7.7
7636,2184400,2,고창군,9.8,5.5,0,9.3,1015.2,,0
7637,2347750,2,고창군,8.2,2.5,0,9.4,1011.5,,0
7638,2963650,2,고창군,4.6,0.5,0,13.1,1015.7,,2
7643,2388250,2,고창군,5.7,3,0,7.7,1013.3,,3
7644,2240900,2,고창군,3.2,0,0,7.8,1019,,5.7
7645,1915000,2,고창군,3.5,0,0,7.8,1017.3,,9.2
7646,1782500,2,고창군,5.2,0,0,4.9,1016.3,,0.2
7647,1782600,2,고창군,4,0,0,10.8,1016.9,,6.4
7648,1517050,2,고창군,0.5,0,0,10.7,1024.8,,9.1
7649,1592300,2,고창군,2.6,4,0,5.4,1022.1,,0
7650,2206300,3,고창군,3.4,1.5,0,9,1019.3,,1.8
7651,1691400,3,고창군,3.6,0,0,6.1,1016.9,,10.1
7652,1522950,3,고창군,5,0.5,0,10.7,1009.3,,1.1
7653,1436150,3,고창군,1,0,0,12,1017.6,,8.5
7654,1392950,3,고창군,0.9,0,0,8.6,1023.7,,6.5
7655,1499600,3,고창군,3.5,0,0,6,1021.4,,8.6
7656,1714850,3,고창군,3.9,0,0,6.7,1021.4,,10.2
7657,2485000,3,고창군,7.3,0,0,7.9,1018.8,,9
7658,1406550,3,고창군,4.2,0.5,0,12.8,1018.3,,8.6
7659,1238800,3,고창군,-0.5,0,0,14.2,1026,,7.4
7660,1622150,3,고창군,4.6,0,0,13.5,1020.3,,9
7661,1462550,3,고창군,4.9,0,0,8.2,1019.1,,10.3
7662,1423650,3,고창군,6.9,2,0,6.6,1017.9,,0
7663,1903200,3,고창군,4,0,0,7,1022.4,,7.9
7664,2090700,3,고창군,6.1,0,0,6.3,1019.9,,7.8
7665,1816450,3,고창군,10,0,0,5.6,1017.3,,9
7666,1679700,3,고창군,13.2,0,0,6.4,1014.1,,4.8
7667,891250,3,고창군,11,21.5,0,8.4,1004.1,,0
7668,1817600,3,고창군,11.8,0.5,0,7.5,1007.8,,8.6
7669,1339500,3,고창군,11.4,0,0,5.4,1015.9,,6.1
7670,1861000,3,고창군,12.1,0,0,5.9,1014.5,,10.1
7671,2449750,3,고창군,8.1,0,0,8.3,1017.7,,8.4
7672,1466100,3,고창군,5.3,0,0,10.5,1026.2,,10.8
7673,1382000,3,고창군,4,0,0,12,1029.2,,11.2
7674,1249900,3,고창군,4.8,0,0,6.7,1032.8,,11.3
7675,1416150,3,고창군,6.6,0,0,7.3,1030.4,,11.2
7676,1474000,3,고창군,8.2,0,0,7,1023,,8.7
7677,1657350,3,고창군,9.6,0,0,7.4,1015.8,,5.9
7678,2335450,3,고창군,11.1,0,0,6.1,1015.3,,7.8
7679,1845500,3,고창군,13.8,0,0,8.3,1016.3,,10.6
7680,1417000,3,고창군,15.5,0.4,0,8,1010.3,,0
7681,1606600,4,고창군,15,1,0,6.9,1011.3,,0
7682,1333550,4,고창군,16.7,4.5,0,19.7,999.3,,5
7683,1055350,4,고창군,10.9,6.5,0,8.9,998.7,,0.8
7684,1514600,4,고창군,13.4,21,0,8,1009.8,,3.3
7685,2414600,4,고창군,12.8,5,0,5.9,1010.9,,0
7686,1747150,4,고창군,10.6,3,0,7.9,1013.9,,0
7687,1568050,4,고창군,8,0,0,6.3,1021.6,,6.6
7688,1502500,4,고창군,7.7,0,0,6.7,1023.7,,5.2
7689,1502600,4,고창군,9.5,0,0,7,1022,,7.1
7690,1392200,4,고창군,10.1,0,0,7.9,1020.1,,11.1
7691,1785450,4,고창군,11.8,0,0,7.8,1022.1,,11.2
7692,1987200,4,고창군,13.8,2.5,0,9.9,1019.4,,1.3
7693,1678800,4,고창군,11.9,5,0,9.5,1011.2,,0
7694,1479100,4,고창군,9,9,0,7.9,1006,,4.3
7695,1596300,4,고창군,13.3,0.1,0,7.1,1008.1,,10
7696,1476600,4,고창군,12.6,1.5,0,11.5,1007.2,,3.8
7697,1484550,4,고창군,11.1,0,0,7,1015.6,,11.4
7698,1710400,4,고창군,16.1,0.5,0,9.4,1010.3,,3.4
7699,2193250,4,고창군,18.3,2.5,0,11.5,1001.6,,0.2
7700,1701650,4,고창군,13.4,6,0,7.7,999.9,,0
7701,1630600,4,고창군,12.5,0,0,9.7,1013.2,,10.8
7702,1515400,4,고창군,12.5,0,0,7.8,1017.5,,10.2
7703,1618700,4,고창군,13.5,0,0,6.8,1019.7,,11
7704,1666900,4,고창군,14.6,0,0,7,1018.3,,8.9
7705,1635050,4,고창군,15.4,0,0,7.4,1018.5,,11.6
7706,1982350,4,고창군,16.8,0,0,6.3,1017.4,,11.6
7707,1424050,4,고창군,18.1,0,0,7.2,1013.9,,11.3
7708,1104600,4,고창군,18.4,23,0,10.5,1009.9,,1.4
7709,1580500,4,고창군,18.4,34.5,0,10,1007.7,,0.2
7710,1670800,4,고창군,18.5,0,0,5.3,1010.8,,5.7
7711,1726550,5,고창군,18.3,0,0,5.3,1011.9,,4.3
7712,1851850,5,고창군,20.5,2.4,0,8.2,1007.8,,5.7
7713,1976300,5,고창군,18.1,6.5,0,9.8,1004,,0
7714,1637350,5,고창군,14.5,0,0,11.5,1008.1,,9.8
7715,1959050,5,고창군,12.2,0,0,6.5,1010.4,,12
7716,1459900,5,고창군,14.3,0,0,5.1,1010.1,,5.7
7717,1487050,5,고창군,14.8,0,0,8,1011.4,,11.4
7718,1410300,5,고창군,16.7,0.2,0,6,1010.8,,6.3
7719,1661400,5,고창군,17.5,0.5,0,7.6,1010.1,,8.9
7720,2296650,5,고창군,17.9,0,0,5.8,1015,,10.6
7721,951350,5,고창군,18.5,13,0,20.9,999.3,,0.2
7722,1786250,5,고창군,16.3,8,0,11,1000.8,,10
7723,1398950,5,고창군,20.8,0,0,11.3,1004.1,,12.1
7724,1733550,5,고창군,23.2,0,0,12,1006,,10.1
7725,1567150,5,고창군,19.9,1,0,5.1,1007.3,,0.1
7726,1687050,5,고창군,18,0,0,7.2,1009.1,,11.4
7727,2136950,5,고창군,18.5,0,0,5.9,1008.3,,7.5
7728,1721950,5,고창군,17.2,0.5,0,5.3,1002.1,,0.6
7729,1687500,5,고창군,18.5,0,0,6.1,1004.5,,8.8
7730,1609600,5,고창군,16.7,0,0,9,1007.3,,11
7731,1420500,5,고창군,17.5,0,0,7.2,1013.4,,11.6
7732,1535550,5,고창군,19.3,0,0,5.4,1012.2,,7.8
7733,1677400,5,고창군,19.7,0,0,9.9,1008.4,,3.4
7734,1995650,5,고창군,19,0,0,7.3,1007,,11.6
7735,1896000,5,고창군,18.4,0,0,6.4,1008.4,,12.4
7736,1751250,5,고창군,19.5,0,0,7.1,1009.3,,12.4
7737,1608500,5,고창군,21.8,0,0,6.6,1007.4,,11.5
7738,1651850,5,고창군,22.7,0,0,7.8,1006.3,,10.8
7739,1550850,5,고창군,22.1,0,0,6.8,1005.3,,10.9
7740,1795750,5,고창군,18,4.5,0,7,1002.9,,1.7
7741,2121050,5,고창군,20.1,0,0,10.1,1006.4,,11.4
7742,1835600,6,고창군,21.3,0,0,7,1008.2,,10.8
7743,1831350,6,고창군,20,0,0,5.3,1005.4,,0
7744,1551900,6,고창군,20.1,0,0,11.6,1005.2,,10.3
7745,1672550,6,고창군,20.6,0,0,7.2,1007.8,,8.9
7746,1514800,6,고창군,18.1,1,0,7.1,1004.1,,5.5
7747,1770450,6,고창군,21.1,0,0,12.1,1008.4,,12.3
7748,2381600,6,고창군,22.1,0,0,15.2,1010.4,,8.9
7749,1948150,6,고창군,20.3,1,0,4.4,1004.7,,0.1
7750,1795850,6,고창군,21.1,0,0,5.6,1005.4,,5.6
7751,1579650,6,고창군,23.4,0,0,7.4,1005.1,,10.9
7752,1632750,6,고창군,23.1,0,0,7.7,1000.2,,0.1
7753,1726400,6,고창군,25.1,0,0,8,1001.9,,10.9
7754,2029900,6,고창군,25.3,0,0,11,1004.6,,3.5
7755,2168750,6,고창군,21.2,25.5,0,9.3,1005.2,,0.2
7756,2148000,6,고창군,22.7,0,0,10.8,1006,,2.2
7757,1780300,6,고창군,21.5,0,0,6,1003.8,,4.9
7758,1720100,6,고창군,21.2,0,0,7.1,1002.3,,0.1
7759,1688750,6,고창군,23.6,0,0,6.8,1002.6,,8
7760,1602500,6,고창군,22.7,0,0,7.4,1006.2,,7
7761,1618100,6,고창군,20,10,0,6.3,1007,,0.2
7762,2589500,6,고창군,21.7,0.1,0,5.7,1008,,3.3
7763,1969150,6,고창군,21.6,0,0,6.5,1008,,6.3
7764,1977050,6,고창군,22.7,0,0,6,1008.7,,9.9
7765,1769950,6,고창군,22.2,0,0,5.3,1006.5,,0.1
7766,1263600,6,고창군,22.3,18,0,10.2,994.4,,1.1
7767,1755500,6,고창군,21.3,13,0,14.3,991,,0
7768,2354300,6,고창군,22.2,0,0,5.8,1002,,1.4
7769,2754450,6,고창군,22.9,2.5,0,8.2,1007.7,,10.7
7770,2078100,6,고창군,23.1,0,0,5.5,1004.5,,3.7
7771,1365600,6,고창군,20.3,17.5,0,6.2,994.6,,0
7772,2111550,7,고창군,21.2,0.5,0,6.5,994.1,,4.5
7773,1873250,7,고창군,22.6,0,0,6,1000.8,,10.2
7774,1806550,7,고창군,22.4,0,0,6.7,1003.5,,7.2
7775,2206200,7,고창군,21.1,0,0,9.6,1008.1,,10.3
7776,2523200,7,고창군,21.7,0,0,7.3,1009.2,,8.9
7777,2230500,7,고창군,21.9,0,0,5.3,1009.7,,3.3
7778,1432650,7,고창군,20.1,6.5,0,5.8,1007.5,,0
7779,1723100,7,고창군,22.4,5.6,0,9.3,1007.4,,0.1
7780,2123650,7,고창군,25.1,3.5,0,6.2,1011,,1.5
7781,1857250,7,고창군,27.2,0,0,7.9,1009.4,,11.3
7782,2045550,7,고창군,26.8,12.5,0,11,1003.6,,0.6
7783,1585550,7,고창군,24.8,63.5,0,16.7,987.2,,0
7784,2953550,7,고창군,22.9,8.5,0,12.5,990.3,,0.2
7785,2054300,7,고창군,25.3,0,0,5.2,1002.5,,5.7
7786,1668200,7,고창군,25.4,62.5,0,6.9,1003.2,,3.9
7787,2204850,7,고창군,25.6,0,0,7.7,1002.1,,10.1
7788,1910150,7,고창군,24.1,0,0,6.1,1002.9,,11
7789,2490650,7,고창군,24.1,0,0,5.8,1007,,3.4
7790,2775850,7,고창군,26.2,0.2,0,5.4,1007.7,,4.7
7791,2056200,7,고창군,26.1,16.5,0,5.8,1006.6,,1.5
7792,2329300,7,고창군,25.8,1,0,4.8,1005,,0.7
7793,2188100,7,고창군,26.3,0.2,0,5.1,1004.4,,1.7
7794,2082100,7,고창군,25.8,8.5,0,9.1,1005.9,,0.3
7795,2100400,7,고창군,25.6,7.5,0,9.5,1004.2,,0.1
7796,2380500,7,고창군,27,0,0,11.8,1005.5,,3.2
7797,2827000,7,고창군,27.1,0,0,11.2,1005.9,,7.8
7798,2440750,7,고창군,25.8,5,0,4.9,1006.8,,0.4
7799,2517700,7,고창군,25.9,3,0,5.5,1007,,0.7
7800,2569000,7,고창군,28.8,0.5,0,12.5,1006.1,,6.2
7801,2385700,7,고창군,29.2,0,0,5.5,1006.7,,9.2
7802,2423750,7,고창군,28,0,0,9.3,1007.7,,10.8
7803,2698700,8,고창군,28,0,0,11.2,1008.7,,10.3
7804,2701200,8,고창군,28.2,0,0,8.9,1008.8,,3.7
7805,2363150,8,고창군,27.8,0,0,7.9,1007.8,,12.1
7806,2552600,8,고창군,28.1,0,0,8.2,1005.9,,10.1
7807,2363050,8,고창군,28.2,0,0,6.7,1006.7,,8.9
7808,2377850,8,고창군,28.4,0,0,5.6,1009.7,,10.2
7809,2245900,8,고창군,28.5,0.5,0,6.2,1012.5,,9.4
7810,2463400,8,고창군,27.3,15,0,11.5,1011.2,,6.2
7811,2759050,8,고창군,26.6,0,0,9.9,1009.6,,7.2
7812,2163700,8,고창군,25.3,0,0,10.9,1008.1,,1.9
7813,1623550,8,고창군,23.1,14,0,12.8,1003.5,,0
7814,2481000,8,고창군,23.5,4.5,0,6.7,1001.9,,1.6
7815,2205500,8,고창군,25.1,0,0,6.3,1003.9,,9
7816,2401850,8,고창군,25.3,0,0,6.1,1004.7,,7.1
7817,2076600,8,고창군,26.4,0,0,5.6,1006.1,,11.2
7818,2518100,8,고창군,25.9,0,0,5.2,1004.4,,2.4
7819,1942300,8,고창군,25.9,0,0,7.2,1005.3,,7
7820,1925650,8,고창군,25,0.5,0,10.9,1009.6,,0
7821,1880550,8,고창군,25.3,0,0,5.3,1010.6,,1.6
7822,1630300,8,고창군,23,30,0,5.3,1006.7,,0
7823,1993250,8,고창군,23.7,22,0,6.7,1002.6,,3.5
7824,1985800,8,고창군,24.3,0,0,4.4,1004.8,,0.2
7825,2351350,8,고창군,24.8,0,0,5.5,1005.7,,2.6
7826,2157250,8,고창군,25,0,0,6.6,1001.7,,0
7827,1675250,8,고창군,21.8,11.5,0,9.8,997.3,,0
7828,1912700,8,고창군,22.3,0,0,6.6,1002.4,,10.2
7829,1533250,8,고창군,23.6,1.5,0,10.3,1006.9,,6.8
7830,1683150,8,고창군,23.6,0.1,0,6.9,1006.9,,8.5
7831,1963950,8,고창군,23.1,0,0,7.4,1006.7,,9.2
7832,2431150,8,고창군,24,0,0,5.1,1008.8,,9.2
7833,1821900,8,고창군,24.3,0,0,7,1009.2,,8.7
7834,1728350,9,고창군,24.9,0,0,6.7,1007.6,,8.5
7835,1624950,9,고창군,22.8,6,0,6.8,1010.2,,5.8
7836,1689100,9,고창군,22.7,0.1,0,6.3,1009.6,,5.7
7837,1513650,9,고창군,23.4,0,0,6.7,1010.5,,9.6
7838,1654400,9,고창군,22.5,10.5,0,8.6,1005.1,,0
7839,2440800,9,고창군,22.6,4.5,0,8.4,1002.8,,6.9
7840,1924400,9,고창군,21.8,0,0,6,1008.3,,7.4
7841,1647700,9,고창군,21.3,0,0,8.1,1012.3,,11
7842,1572800,9,고창군,19.5,0,0,7.6,1012.9,,11
7843,1612950,9,고창군,20.3,0,0,7.6,1011.6,,11.1
7844,1601050,9,고창군,21.9,0,0,6.3,1008.8,,6.9
7845,1679650,9,고창군,19.2,0.5,0,5.7,1007.8,,0.3
7846,2488900,9,고창군,18.5,0,0,7.7,1013.5,,9
7847,1884550,9,고창군,19.6,0,0,11.5,1019.3,,9.4
7848,1654300,9,고창군,20.4,0,0,5.8,1017,,10.3
7849,1674100,9,고창군,19.3,0,0,6.3,1014.5,,1.4
7850,1725050,9,고창군,20.2,0,0,6.6,1013.4,,10.7
7851,2007200,9,고창군,20.4,0,0,6.6,1014.2,,7.1
7852,2098250,9,고창군,20.3,0,0,5.5,1011.3,,9.4
7853,2973400,9,고창군,19.8,0,0,5.9,1010.6,,6.6
7854,2218950,9,고창군,20.4,0,0,6.1,1011.9,,10.6
7855,2130900,9,고창군,21,0,0,6.2,1013.1,,10.6
7856,1967750,9,고창군,18.5,10.5,0,5.9,1006.8,,0
7857,2877000,9,고창군,20.4,0,0,8.2,1004.5,,4.8
7858,3289150,9,고창군,20.9,0,0,5.5,1005.5,,3.3
7863,2164150,9,고창군,19.4,1,0,7.3,1013.9,,0
7864,1702950,10,고창군,19.6,68,0,13.9,997.1,,0
7865,2432750,10,고창군,15.8,0,0,9.6,1012.6,,10.8
7866,2570450,10,고창군,18,0,0,7.2,1017.4,,7.2
7867,2690400,10,고창군,17.2,0,0,7.3,1023.5,,3.8
7868,2127250,10,고창군,17.8,0,0,7.5,1020.1,,10.2
7869,1992050,10,고창군,17.2,0,0,8.1,1018.3,,10.5
7870,1854150,10,고창군,16.9,0,0,4.3,1014.9,,6.1
7871,1829350,10,고창군,17.5,2.5,0,8.4,1010.6,,5.7
7872,2057350,10,고창군,15.6,1,0,7.6,1010.8,,9
7873,2153850,10,고창군,15.9,4,0,8.9,1007.9,,7.2
7874,2176000,10,고창군,13.4,5,0,10,1012.5,,2.9
7875,2017650,10,고창군,14.1,4,0,9.6,1015.8,,4.5
7876,1721550,10,고창군,14.5,0,0,6.5,1020.1,,10.2
7877,1864600,10,고창군,16.1,0,0,5.9,1018.7,,9.4
7878,1942050,10,고창군,15.4,0,0,5.2,1017.8,,8.2
7879,1618750,10,고창군,15.6,0,0,5.7,1017.5,,9.9
7880,1885550,10,고창군,17.2,0,0,6.5,1018.5,,7.4
7881,2458250,10,고창군,16.4,0,0,6.6,1018.2,,8.4
7882,1945650,10,고창군,17.1,0,0,4.3,1014.3,,9.4
7883,1598850,10,고창군,16.5,0,0,6.4,1014.7,,8.7
7884,1640750,10,고창군,17.6,0,0,6.1,1016.8,,6.6
7885,1778850,10,고창군,17.3,0,0,4.8,1018.2,,7
7886,1834900,10,고창군,16.3,0,0,5,1017.3,,5.3
7887,1869600,10,고창군,14.9,0.3,0,5.7,1017.6,,1.3
7888,2383100,10,고창군,15.8,0,0,4.3,1021,,6.7
7889,2097400,10,고창군,16.9,0,0,7.6,1014.1,,7.1
7890,1759400,10,고창군,15,21.5,0,11.1,1006.1,,1.3
7891,1852800,10,고창군,12.5,0,0,6.8,1017.3,,7.5
7892,1677100,10,고창군,11.6,0,0,7.4,1021,,6.3
7893,1419750,10,고창군,9.7,0,0,8.8,1023.1,,7.1
7894,1910200,10,고창군,8.5,0,0,8.8,1028,,8.1
7895,2391750,11,고창군,7.5,0,0,4,1023.3,,0
7896,1942000,11,고창군,9.4,3,0,6.5,1021.8,,6.1
7897,1983800,11,고창군,10.8,0,0,6.8,1025.9,,9.4
7898,1998800,11,고창군,11.8,0,0,7.3,1026.1,,8.6
7899,1855600,11,고창군,13.8,0,0,5.3,1023.1,,1.5
7900,1533050,11,고창군,15.8,4,0,7.9,1021.1,,0
7901,1718450,11,고창군,16.5,15,0,11.4,1014.9,,0
7902,3143700,11,고창군,17,6,0,5.3,1013.8,,0
7903,2125950,11,고창군,12.9,3.5,0,8.3,1016,,0
7904,2133450,11,고창군,10.1,0,0,4.7,1020.9,,0
7905,1914000,11,고창군,11.1,0,0,5.7,1025.6,,3.7
7906,1990400,11,고창군,14.1,0,0,5.9,1025.6,,7.9
7907,1585400,11,고창군,12.7,16,0,6.3,1012.9,,0
7908,2204600,11,고창군,13.7,2,0,6.7,1011.7,,0
7909,2991800,11,고창군,13.2,0,0,5.8,1017.5,,4.8
7910,2099850,11,고창군,14.4,4.5,0,13.2,1011.7,,0.4
7911,2203050,11,고창군,15.4,0.3,0,7.4,1013.9,,0
7912,1855050,11,고창군,13.2,9.5,0,4.8,1015.6,,0
7913,2653550,11,고창군,12.3,0.5,0,4.5,1019.8,,0
7914,2433600,11,고창군,12,0.1,0,5.2,1021.3,,4.3
7915,2324450,11,고창군,9.6,0,0,4.8,1024.3,,1.8
7916,3237200,11,고창군,10.8,0,0,5.2,1024,,4.9
7917,2371300,11,고창군,12.2,4,0,6.5,1021.8,,0
7918,2432700,11,고창군,8.3,0.2,0,7.3,1021.9,,0.6
7919,2210750,11,고창군,6.6,14,0,10,1017.2,,0
7920,1568250,11,고창군,1.5,13.5,0,12,1015.7,,1.4
7921,2357050,11,고창군,1.9,3.5,0,10.1,1019.8,,0
7922,3107950,11,고창군,4.7,0,0,4.3,1027.5,,2.1
7923,3530250,11,고창군,9.1,3.5,0,5.5,1023.4,,2.7
7924,2398100,11,고창군,7.3,0.5,0,6.8,1022.6,,5
7925,2224400,12,고창군,6.4,0,0,6.6,1022.2,,8.6
